101,1,1,2,1,1,1,1,1,1,1,1.1
105,1,1,1,1,1,1,1,1,1,1,1
114,1,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,1,1,1,1,1,1,1
155,1,1,1,2,1,2,1,1,1,1,1.2
191,1,2,1,1,1,2,1,2,1,1,1.3
240,2,1,1,2,2,2,1,1,2,1,1.5
304,1,1,2,2,2,1,1,1,2,1,1.4
385,2,3,2,2,1,2,2,1,2,2,1.9
485,2,2,1,2,1,2,1,1,2,1,1.5
606,2,1,2,1,2,2,1,1,2,2,1.6
750,2,3,1,1,1,2,1,2,1,2,1.6
919,2,2,3,1,1,2,1,2,2,1,1.7
1115,2,2,1,2,2,1,2,2,2,1,1.7
1340,2,2,3,2,1,1,2,1,3,2,1.9
1596,2,2,2,2,2,2,2,1,2,2,1.9
1885,3,1,2,2,2,2,1,2,2,2,1.9
2209,3,3,2,2,3,2,2,2,2,2,2.3
